"Uwi","Producer.oilApiGravity","Core.XrdQuartz","Producer.mudPressure","Core.TOC","Core.RoMeasured","Core.GriSaturationsSo","Core.ln_formationThickness","Core.GriTotalPorosity","Rules.Prediction","Kaggle.Prediction","Target"
"42255320780100",53.5,15.92097238,0.59279998,3.437704495,1.233284098,20.36032202,5.285331422,7.93389404,300,16.3098993483112,22.4486700373708
"42255320790000",46.9,15.58597018,0.572569114,3.433556066,1.143406525,26.76934521,5.215459103,7.745057377,300,16.1856048888853,22.5433240163406
"42255320800000",57.3,16.16338575,0.62352429,3.513333105,1.409561386,14.57394555,5.658151722,8.529034513,350,17.8850384079851,25.3923611111111
"42255320820000",54.6,15.92080401,0.57720002,3.43766707,1.233240921,20.36210204,5.285130507,7.933442342,300,16.8316615677114,21.257051961824
"42255320840000",44,15.43125665,0.580347705,3.450900886,1.163336968,30.0381767,5.259636252,7.839008002,300,15.1646984573279,10.1242185924582
"42255320860000",40,15.3697375,0.582309134,3.499258649,1.097840241,29.7946895,5.169198294,7.874584519,250,20.6567161662277,10.1000651182982
"42255320890000",NA,15.79509478,0.572,3.45378137,1.207066906,22.36600966,5.379169835,8.186969683,150,17.5840533233321,32.6933136857617
"42255320900000",43,15.3679409,0.582393962,3.501383853,1.093390302,29.73941345,5.162026021,7.874959388,300,19.6333337560821,20.389765294344
"42255320910000",41,15.36686234,0.582536263,3.501821003,1.091772301,29.74488576,5.159176656,7.872400201,300,19.6864874816387,13.68911739503
"42255320920000",41,15.32841224,0.589279167,3.499700285,1.056940682,30.75303959,5.089226217,7.719397367,300,18.6991403633458,23.5894353369763
"42255320930000",59,16.13527363,0.62923249,3.588524782,1.478476016,17.07008211,5.794925134,8.991530981,350,12.3312048786117,16.7014251781473
"42255320950000",53.5,15.79546728,0.58239999,3.453820834,1.207121924,22.36024099,5.379368671,8.187523497,350,17.5703770438595,34.9385464581417
"42255320960000",45.33,15.52416854,0.575484086,3.388087747,1.147027129,24.02314901,5.065537037,7.283166572,300,13.0512706977723,18.8462118356577
"42255320970000",42,15.32792752,0.589264427,3.498594126,1.05763046,30.81262897,5.090176372,7.714035824,300,21.2555439495056,13.6293388429752
"42255320980000",43,15.45518639,0.571967924,3.455932493,1.223893541,29.51145857,5.355541129,8.057371352,350,17.4714240899035,21.9934965570008
"42255321010000",49,15.86857259,0.586905002,3.434460677,1.213385942,21.3796876,5.263981358,7.889418115,300,16.0956790063078,23.8829257246377
"42255321020000",58,16.16959249,0.622382006,3.574341195,1.485896978,15.94891318,5.790160269,8.882703749,350,13.598248605274,12.385301269927
"42255321030000",46,15.44681028,0.569697406,3.510084401,1.150295303,27.47905479,5.276460395,8.171982623,350,19.667465819099,31.2667401922168
"42255321040000",46,15.49054145,0.567537271,3.513369493,1.180901139,26.37032797,5.334188906,8.30554037,350,17.4871870820399,21.9551668381596
