UWI,Source,Test Type,Test Number,Number,Type,Depth Top,Depth Base,Fluid Amount,Fluid Units,Fluid Type,Propping Agent Amount,Propping Agent Units,Propping Agent Type,Pressure Breakdown,Injection Rate,Additive,Stage,Mesh Size,Remark
4.20133E+13,PI,IP,1,15,FRAC,12270,12276,,,,209000,LB,SAND,,,,,,"DETAILS: 9000# 60/120 SINTERBLAST, 200000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,16,FRAC,12404,12410,,,,202000,LB,SAND,,,,,,"DETAILS: 8000# 60/120 SINTERBLAST, 194000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,17,FRAC,12560,12566,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 60/120 SINTERBLAST, 200000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,18,FRAC,12725,12731,,,,178000,LB,SAND,,,,,,"DETAILS: 10000# 60/120 SINTERBLAST, 168000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,19,FRAC,12890,12896,,,,190000,LB,SAND,,,,,,"DETAILS: 5000# 60/120 SINTERBLAST, 185000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,20,FRAC,13025,13031,,,,205000,LB,SAND,,,,,,"DETAILS: 5000# 60/120 SINTERBLAST, 200000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,21,FRAC,13170,13176,,,,190000,LB,SAND,,,,,,"DETAILS: 5000# 60/120 SINTERBLAST, 185000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,22,FRAC,13782,13786,,,,235000,LB,SAND,,,,,,"DETAILS: 15000# 60/120 SINTERBLAST, 220000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,23,FRAC,13925,13931,,,,95000,LB,SAND,,,,,,"DETAILS: 10000# 60/120 SINTERBLAST, 85000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,24,FRAC,14075,14081,,,,37000,LB,SAND,,,,,,"DETAILS: 10000# 60/120 SINTERBLAST, 27000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,25,FRAC,14125,14131,,,,37000,LB,SAND,,,,,,"DETAILS: 10000# 60/120 SINTERBLAST, 27000# 30/60 BAUXITE"
4.20133E+13,PI,IP,1,1,FRAC,9976,13546,,,,900,TON,SAND,,,,12,,1800000# SD
4.20133E+13,PI,IP,1,1,FRAC,9626,9892,,,,389480,LB,SAND,,,,,30/50,"DETAILS: 20000# 100 MESH, 369480# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,2,FRAC,10010,10152,,,,247680,LB,SAND,,,,,30/50,"DETAILS: 15000# 100 MESH, 232680# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,3,FRAC,10276,10412,,,,300020,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 290020# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,4,FRAC,10540,10670,,,,270200,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 260200# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,5,FRAC,10796,10932,,,,268200,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 258200# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,6,FRAC,11060,11186,,,,270100,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 260100# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,7,FRAC,11316,11452,,,,269400,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 259400# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,8,FRAC,11599,11762,,,,167420,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 157420# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,9,FRAC,11900,12052,,,,258920,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 248920# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,10,FRAC,12196,12352,,,,269800,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 259800# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,11,FRAC,12500,12652,,,,272360,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 262360# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,12,FRAC,13252,13436,,,,288020,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 278020# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,13,FRAC,13590,13596,,,,147160,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 137160# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,14,FRAC,13884,13890,,,,197060,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 187060# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,15,FRAC,14044,14050,,,,46380,LB,SAND,,,,,30/50,"DETAILS: 10440# 100 MESH, 35940# 30/50 PREMIUM WHITE"
4.20133E+13,PI,IP,1,1,FRAC,9691,9697,,,,207500,LB,SAND,,,,,,"DETAILS: 7500# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,2,FRAC,9846,9852,,,,207500,LB,SAND,,,,,,"DETAILS: 7500# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,3,FRAC,10001,10007,,,,207500,LB,SAND,,,,,,"DETAILS: 7500# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,4,FRAC,10157,10163,,,,207000,LB,SAND,,,,,,"DETAILS: 7000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,5,FRAC,10296,10302,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,6,FRAC,10464,10470,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,7,FRAC,10621,10627,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,8,FRAC,10776,10782,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,9,FRAC,10931,10937,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,10,FRAC,11087,11093,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,11,FRAC,11234,11240,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,12,FRAC,11394,11400,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,13,FRAC,11551,11557,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,14,FRAC,11706,11712,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,15,FRAC,11861,11867,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,16,FRAC,12016,12022,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,17,FRAC,12174,12180,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,18,FRAC,12318,12324,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,19,FRAC,12480,12486,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,20,FRAC,12636,12642,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,21,FRAC,12791,12797,,,,210000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 150000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,22,FRAC,12946,12952,,,,74000,LB,SAND,,,,,,"DETAILS: 1000# 100 MESH, 64000# 40/80 HYDROPROP"
4.20133E+13,PI,IP,1,23,FRAC,13101,13107,,,,212000,LB,SAND,,,,,,"DETAILS: 162000# 40/80 HYDROPROP, 50000# 20/40 ECONOPROP"
4.20133E+13,PI,IP,1,24,FRAC,13401,13407,,,,41000,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 31000# 40/80 HYDROPROP"
4.20133E+13,PI,IP,1,25,FRAC,13553,13559,,,,154920,LB,SAND,,,,,,"DETAILS: 15000# 100 MESH, 139920# 40/80 HYDROPROP"
4.20133E+13,PI,IP,1,26,FRAC,13693,13699,,,,162000,LB,SAND,,,,,,"DETAILS: 12000# 100 MESH, 150000# 40/80 HYDROPROP"
4.20133E+13,PI,IP,1,27,FRAC,13854,13860,,,,153000,LB,SAND,,,,,,"DETAILS: 13000# 100 MESH, 140000# 40/80 HYDROPROP"
4.20133E+13,PI,IP,1,28,FRAC,14009,14015,,,,120060,LB,SAND,,,,,,"DETAILS: 10060# 100 MESH, 110000# 40/80 HYDROPROP"
4.20133E+13,PI,IP,1,1,FRAC,9550,9843,,,,401480,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 290080# 30/50 WHITE, 101400# 30/50 MG LITE"
4.20133E+13,PI,IP,1,2,FRAC,10010,10153,,,,257520,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 196880# 30/50 WHITE, 50640# 30/50 MG LITE"
4.20133E+13,PI,IP,1,3,FRAC,10310,10453,,,,253240,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 193020# 30/50 WHITE, 50220# 30/50 MG LITE"
4.20133E+13,PI,IP,1,4,FRAC,10590,10723,,,,258380,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 196380# 30/50 WHITE, 52000# 30/50 MG LITE"
4.20133E+13,PI,IP,1,5,FRAC,10900,11033,,,,237800,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 199240# 30/50 WHITE, 28560# 30/50 MG LITE"
4.20133E+13,PI,IP,1,6,FRAC,11170,11303,,,,130840,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 120840# 30/50 MG LITE"
4.20133E+13,PI,IP,1,7,FRAC,11560,11563,,,,259170,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 149690# 30/50 WHITE, 99480# 30/50 MG LITE"
4.20133E+13,PI,IP,1,8,FRAC,11700,11873,,,,261300,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 200880# 30/50 WHITE, 50420# 30/50 MG LITE"
4.20133E+13,PI,IP,1,9,FRAC,12003,12183,,,,261300,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 200880# 30/50 WHITE, 50420# 30/50 MG LITE"
4.20133E+13,PI,IP,1,10,FRAC,13390,13393,,,,260120,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 199760# 30/50 WHITE, 50360# 30/50 MG LITE"
4.20133E+13,PI,IP,1,11,FRAC,13700,13853,,,,260440,LB,SAND,,,,,,"DETAILS: 10000# 100 MESH, 200400# 30/50 WHITE, 50040# 30/50 MG LITE"
4.20133E+13,PI,IP,1,12,FRAC,13992,14062,,,,259860,LB,SAND,,,,,,"DETAILS: 10660# 100 MESH, 198640# 30/50 WHITE, 50560# 30/50 MG LITE"
4.20133E+13,PI,IP,1,1,FRAC,9770,9968,,,,651240,LB,SAND,,,,,30/50,WHITE
4.20133E+13,PI,IP,1,2,FRAC,10074,10266,,,,610720,LB,SAND,,,,,30/50,"DETAILS: 7500# 100 MESH, 603220# 30/50 WHITE"
4.20133E+13,PI,IP,1,3,FRAC,10368,10582,,,,610720,LB,SAND,,,,,30/50,"DETAILS: 7500# 100 MESH, 603220# 30/50 WHITE"
4.20133E+13,PI,IP,1,4,FRAC,10670,10874,,,,599240,LB,SAND,,,,,30/50,"DETAILS: 7500# 100 MESH, 591740# 30/50 WHITE"
4.20133E+13,PI,IP,1,5,FRAC,10962,11176,,,,650960,LB,SAND,,,,,30/50,"DETAILS:10000# 100 MESH, 640960# 30/50 WHITE"
4.20133E+13,PI,IP,1,6,FRAC,11270,11472,,,,595420,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 585420# 30/50 WHITE"
4.20133E+13,PI,IP,1,7,FRAC,11562,11776,,,,265700,LB,SAND,,,,,30/50,"DETAILS: 20000# 100 MESH, 245700# 30/50 WHITE"
4.20133E+13,PI,IP,1,8,FRAC,11870,12070,,,,409580,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 399580# 30/50 WHITE"
4.20133E+13,PI,IP,1,9,FRAC,12180,12376,,,,594040,LB,SAND,,,,,30/50,WHITE
4.20133E+13,PI,IP,1,10,FRAC,12470,12662,,,,456720,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 446720# 30/50 WHITE"
4.20133E+13,PI,IP,1,11,FRAC,12775,12976,,,,525700,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 515700# 30/50 WHITE"
4.20133E+13,PI,IP,1,12,FRAC,13070,13282,,,,607800,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 597800# 30/50 WHITE"
4.20133E+13,PI,IP,1,13,FRAC,13370,13576,,,,607330,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 597330# 30/50 WHITE"
4.20133E+13,PI,IP,1,14,FRAC,13825,13873,,,,617696,LB,SAND,,,,,30/50,"DETAILS: 10000# 100 MESH, 607696# 30/50 WHITE"
4.20133E+13,PI,IP,1,1,FRAC,9670,9983,,,,198920,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,2,FRAC,10090,10296,,,,100160,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,3,FRAC,10400,10660,,,,99840,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,4,FRAC,10704,10908,,,,99060,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,5,FRAC,11020,11226,,,,678092,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,6,FRAC,11330,11536,,,,299880,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,7,FRAC,11633,11852,,,,50000,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,8,FRAC,11950,12156,,,,49860,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,9,FRAC,12260,12472,,,,60000,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,10,FRAC,12570,12760,,,,334480,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,11,FRAC,12880,13086,,,,71000,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,12,FRAC,13190,13396,,,,312150,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,13,FRAC,13503,13588,,,,372800,LB,SAND,,,,,40/70,MG LIGHT
4.20133E+13,PI,IP,1,1,FRAC,9699,9886,,,,301600,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 291600# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,2,FRAC,9977,10163,,,,300440,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 290440# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,3,FRAC,10274,10461,,,,310820,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 300820# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,4,FRAC,10545,10737,,,,293640,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 283640# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,5,FRAC,10824,11016,,,,305020,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 295020# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,6,FRAC,11103,11295,,,,291040,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 281040# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,7,FRAC,11382,11481,,,,296460,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 286460# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,8,FRAC,11661,11895,,,,149860,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 139860# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,9,FRAC,12010,12246,,,,305900,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 295900# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,10,FRAC,12345,12579,,,,286260,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 276260# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,11,FRAC,12677,12911,,,,302360,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 292360# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,12,FRAC,13029,13263,,,,299720,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 289720# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,13,FRAC,13361,13595,,,,297540,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 287540# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,14,FRAC,13839,13905,,,,294900,LB,SAND,,,,,40/70,"DETAILS: 10000# 100 MESH, 284900# 40/70 POWERPROP"
4.20133E+13,PI,IP,1,1,FRAC,10950,11200,,,,193560,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,2,FRAC,11250,11500,,,,189160,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,3,FRAC,11550,11800,,,,185529,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,4,FRAC,11850,12100,,,,189731,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,5,FRAC,12150,12400,,,,189299,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,6,FRAC,12450,12700,,,,183440,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,7,FRAC,12750,13000,,,,188780,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,8,FRAC,13050,13300,,,,52000,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,9,FRAC,13350,13600,,,,191220,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,10,FRAC,13650,13900,,,,166520,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,11,FRAC,13950,14200,,,,184480,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,12,FRAC,14250,14500,,,,55600,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,13,FRAC,14550,14800,,,,200000,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,14,FRAC,14850,15100,,,,137000,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,15,FRAC,15150,15400,,,,102000,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,16,FRAC,15450,15700,,,,202000,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,17,FRAC,15750,16000,,,,217000,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,18,FRAC,16050,16300,,,,193000,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,19,FRAC,16400,16650,,,,164000,LB,SAND,,,,,40/70,TEXAS GOLD SD
4.20133E+13,PI,IP,1,1,FRAC,8180,8391,,,,452280,LB,SAND,,,,,30/50,PREMIUM WHITE
4.20133E+13,PI,IP,1,2,FRAC,8490,8691,,,,457380,LB,SAND,,,,,30/50,PREMIUM WHITE
4.20133E+13,PI,IP,1,3,FRAC,8795,9001,,,,344040,LB,SAND,,,,,30/50,PREMIUM WHITE
4.20133E+13,PI,IP,1,4,FRAC,9100,9312,,,,452280,LB,SAND,,,,,30/50,PREMIUM WHITE
4.20133E+13,PI,IP,1,5,FRAC,9405,9611,,,,453820,LB,SAND,,,,,30/50,PREMIUM WHITE
4.20133E+13,PI,IP,1,6,FRAC,9713,9916,,,,98860,LB,SAND,,,,,30/50,PREMIUM WHITE
4.20133E+13,PI,IP,1,7,FRAC,10020,10226,,,,211870,LB,SAND,,,,,30/50,PREMIUM WHITE
4.20133E+13,PI,IP,1,8,FRAC,10330,10530,,,,451680,LB,SAND,,,,,30/50,PREMIUM WHITE
4.20133E+13,PI,IP,1,9,FRAC,10640,10846,,,,448640,LB,SAND,,,,,30/50,PREMIUM WHITE
