Entity,Source,Entity Type,Primary Product,Province State Name,District Name,County Name,Basin Name,Operator Name,Field Name,Prod Zone Name,Lease Name,Lease Number,Well Number,Location,Gatherer Gas,Gatherer Liquid,Status Date,Status Current Name,Date Production Start,Date Production Stop,Date Injection Start,Date Injection Stop,Pool Name,Temperature Gradient,N Factor
242010250616,PI,WELL,G,TEXAS,TEXAS DISTRICT 01,ATASCOSA,GULF COAST BASIN,XTO ENERGY INCORPORATED,FASHING,EAGLE FORD,TARTT EMMA ET AL,250616,16,SEC:144 BLK: SRV:WILKINSON JAMES ABS:882,PUEBM,FLINH,2013-05-15,INACTIVE,2009-01-01,2012-02-29,,,EAGLE FORD,1.8,
242010264109,PI,WELL,G,TEXAS,TEXAS DISTRICT 01,ATASCOSA,GULF COAST BASIN,COMSTOCK OIL & GAS LIMITED PARTNERSHIP,EAGLEVILLE,EAGLE FORD,JUPE A,264109,1H,SEC:1732 BLK: SRV:I&GN RR CO ABS:434,REGEF,SHLTR,2012-06-15,INACTIVE,2011-09-01,2011-09-30,,,EAGLE FORD-1,,
242030236190,PI,WELL,G,TEXAS,TEXAS DISTRICT 03,BURLESON,GULF COAST BASIN,APACHE CORPORATION,GIDDINGS SOUTH DIST 3,EAGLE FORD,SANTE FE A,236190,2,SEC:B BLK: SRV:LASTLEY JAMES ABS:35,ENETR,GULFM,,ACTIVE,2008-03-01,2013-05-31,,,EAGLE FORD,,
242030241432,PI,WELL,G,TEXAS,TEXAS DISTRICT 03,BURLESON,GULF COAST BASIN,APACHE CORPORATION,GIDDINGS SOUTH DIST 3,EAGLE FORD,SANTA FE A,241432,1,SEC:B BLK: SRV:LASTLEY JAMES ABS:35,ENETR,GULFM,,ACTIVE,2008-03-01,2013-05-31,,,EAGLE FORD,,
242030242983,PI,WELL,G,TEXAS,TEXAS DISTRICT 03,BURLESON,GULF COAST BASIN,APACHE CORPORATION,GIDDINGS,EAGLE FORD,BOULDEN F,242983,1,SEC: BLK: SRV:GUILD ALFRED R ABS:27,ENETR,GULFM,,ACTIVE,2008-09-01,2013-05-31,,,EAGLE FORD,1.8,
21706130266020720502,PI,ALLOCATED,G,LOUISIANA,SHREVEPORT,SABINE,ARKLA BASIN,PERKINS OIL PROPERTIES INCORPORATED,EBARB SCHOOL,EAGLE FORD,INTERNATIONAL PAPER CO 30,302660,002,7N 11W 4 NW NE NE,CREST,,,INACTIVE,2010-01-01,2011-12-31,,,,1.7,
21706130266020720503,PI,ALLOCATED,G,LOUISIANA,SHREVEPORT,SABINE,ARKLA BASIN,PERKINS OIL PROPERTIES INCORPORATED,EBARB SCHOOL,EAGLE FORD,INTERNATIONAL PAPER CO 30,302660,002,7N 11W 4 NW NE NE,CREST,,,ACTIVE,2012-01-01,2013-03-31,,,,1.7,
142020P58043MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,CROSBY,PERMIAN BASIN,PIONEER NATURAL RESOURCES USA INC,EAGLE RIDGE,EAGLE FORD,RANKIN ETAL 142,,MULTI,SEC:1 BLK:D19 SRV:TORREY JOHN F & CO ABS:412,,,,ACTIVE,2012-09-01,2013-01-31,,,EAGLE FORD SHALE,,
1420200095971,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,SCHENDEL A-303,009597,1,SEC: BLK: SRV:LYTTE WILLIAM L ABS:303,BURLR,BPPRN,,ACTIVE,2011-01-01,2013-04-30,,,EAGLE FORD-2,,
1420200095972,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,SCHENDEL A-303,009597,2,SEC: BLK: SRV:LYTTE WILLIAM L ABS:303,BURLR,BPPRN,,ACTIVE,2011-03-01,2013-04-30,,,EAGLE FORD-2,,
1420200096211 H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,RILEY EXPLORATION LLC,EAGLEVILLE,EAGLE FORD,D & S,009621,1 H,SEC: BLK: SRV:NOWLAN JAMES ABS:372,,,2013-04-15,INACTIVE,2010-10-01,2010-11-30,,,EAGLE FORD,,
1420200096251,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,SCHENDEL A-303 B,009625,1,SEC: BLK: SRV:LYTTE WILLIAM L ABS:303,BURLR,NABOR,,INACTIVE,2011-03-01,2012-04-30,,,EAGLE FORD-2,,
1420200096301 H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,RILEY EXPLORATION LLC,EAGLEVILLE,EAGLE FORD,D & S,009630,1 H,SEC: BLK: SRV:NOWLAN JAMES ABS:372,COPFK,PLAML,,ACTIVE,2010-12-01,2013-02-28,,,EAGLE FORD-2,,
1420200096891,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,ADAMS UNIT A,009689,1,SEC:14 BLK: SRV:I RR CO ABS:585,BURLR,NABOC,,ACTIVE,2011-06-01,2013-04-30,,,EAGLE FORD-2,,
1420200097191,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,C W HAHN UNIT A,009719,1,SEC:63 BLK: SRV:I RR CO ABS:269,BURLR,NABOC,,ACTIVE,2011-10-01,2013-04-30,,,EAGLE FORD-2,,
1420200097211,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,SCHMIDT UNIT A,009721,1,SEC:61 BLK: SRV:I RR CO ABS:268,BURLR,,,ACTIVE,2011-11-01,2013-04-30,,,EAGLE FORD-2,,
1420200097241,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,G KLEIN UNIT D,009724,1,SEC: BLK: SRV:BELL THADDEUS C ABS:65,BURLR,FALST,,ACTIVE,2011-11-01,2013-04-30,,,EAGLE FORD-2,,
1420200097251,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RUCKA UNIT A,009725,1,SEC: BLK: SRV:GONZALES FRANCISCO ABS:194,BURLR,,,ACTIVE,2012-07-01,2013-04-30,,,EAGLE FORD-2,,
1420200097311,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RUCKMAN RANCH UNIT,009731,1,SEC: BLK: SRV:POWEL JAMES ABS:658,BURLR,DILLO,,ACTIVE,2011-08-01,2013-04-30,,,EAGLE FORD-2,,
1420200097312,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RUCKMAN RANCH UNIT,009731,2,SEC: BLK: SRV:POWEL JAMES ABS:658,BURLR,DILLO,,ACTIVE,2011-08-01,2013-04-30,,,EAGLE FORD-2,,
1420200097313,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RUCKMAN RANCH UNIT,009731,3,SEC: BLK: SRV:POWEL JAMES ABS:658,BURLR,DILLO,,ACTIVE,2011-10-01,2013-04-30,,,EAGLE FORD-2,,
1420200097314,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RUCKMAN RANCH UNIT,009731,4,SEC: BLK: SRV:POWEL JAMES ABS:658,BURLR,DILLO,,ACTIVE,2011-10-01,2013-04-30,,,EAGLE FORD-2,,
1420200097316,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RUCKMAN RANCH UNIT,009731,6,SEC: BLK: SRV:POWEL JAMES ABS:658,BURLR,NABOC,,ACTIVE,2012-08-01,2013-04-30,,,EAGLE FORD-2,,
1420200097317,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RUCKMAN RANCH UNIT,009731,7,SEC: BLK: SRV:POWEL JAMES ABS:658,BURLR,DILLO,,ACTIVE,2013-01-01,2013-04-30,,,EAGLE FORD-2,,
1420200097421,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RICE UNIVERSITY,009742,1,SEC:62 BLK: SRV:I RR CO ABS:693,BURLR,NABOC,,ACTIVE,2011-03-01,2013-04-30,,,EAGLE FORD-2,,
1420200097422,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RICE UNIVERSITY,009742,2,SEC:61 BLK: SRV:I RR CO ABS:268,BURLR,NABOC,,ACTIVE,2011-11-01,2013-04-30,,,EAGLE FORD-2,,
1420200097423,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,RICE UNIVERSITY,009742,3,SEC:46 BLK: SRV:I RR CO ABS:588,BURLR,NABOC,,ACTIVE,2012-01-01,2013-04-30,,,EAGLE FORD-2,,
1420200097551,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,G KLEIN UNIT C,009755,1,SEC: BLK: SRV:LEONA IRR MFG&CANAL CO ABS:567,BURLR,NABOC,,ACTIVE,2011-12-01,2013-04-30,,,EAGLE FORD-2,,
1420200097711,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,G KLEIN UNIT B,009771,1,SEC: BLK: SRV:LEONA IRR MFG&CANAL CO ABS:567,BURLR,NABOC,,ACTIVE,2011-12-01,2013-04-30,,,EAGLE FORD-2,,
1420200097721,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,KLAEVEMANN UNIT A,009772,1,SEC:17 BLK: SRV:I RR CO ABS:273,BURLR,FALST,,ACTIVE,2012-01-01,2013-04-30,,,EAGLE FORD-2,,
1420200097741,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,G KLEIN UNIT E,009774,1,SEC: BLK: SRV:BELL THADDEUS C ABS:65,BURLR,,,ACTIVE,2012-03-01,2013-04-30,,,EAGLE FORD-2,,
1420200097951,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,VASBINDER UNIT A,009795,1,SEC: BLK: SRV:LYTTE WILLIAM L ABS:303,BURLR,DILLO,,ACTIVE,2012-02-01,2013-04-30,,,EAGLE FORD-2,,
1420200097961,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,A MUELLER UNIT A,009796,1,SEC:17 BLK: SRV:I RR CO ABS:273,BURLR,NABOC,,ACTIVE,2012-05-01,2013-04-30,,,EAGLE FORD-2,,
1420200098221,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,THIELE UNIT B,009822,1,SEC:17 BLK: SRV:I RR CO ABS:273,BURLR,NABOC,,ACTIVE,2012-05-01,2013-04-30,,,EAGLE FORD-2,,
1420200098241,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,R MEISCHEN UNIT A,009824,1,SEC:46 BLK: SRV:I RR CO ABS:588,BURLR,NABOC,,ACTIVE,2012-01-01,2013-04-30,,,EAGLE FORD-2,,
1420200098381H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,MARATHON OIL EF LLC,EAGLEVILLE,EAGLE FORD,LESKE-LOTT UNIT,009838,1H,SEC:68 BLK: SRV:BREEDING BENJAMIN W ABS:62,,GULFM,,ACTIVE,2011-08-01,2013-04-30,,,EAGLE FORD-2,,
1420200098382H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,MARATHON OIL EF LLC,EAGLEVILLE,EAGLE FORD,LESKE-LOTT UNIT,009838,2H,SEC: BLK: SRV:PHARRASS SQUIRE ABS:377,,SHLTR,,ACTIVE,2012-07-01,2013-04-30,,,EAGLE FORD-2,,
1420200098383H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,MARATHON OIL EF LLC,EAGLEVILLE,EAGLE FORD,LESKE-LOTT UNIT,009838,3H,SEC: BLK: SRV:PHARRASS SQUIRE ABS:377,,SHLTR,,ACTIVE,2012-07-01,2013-04-30,,,EAGLE FORD-2,,
1420200098384H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,MARATHON OIL EF LLC,EAGLEVILLE,EAGLE FORD,LESKE-LOTT UNIT,009838,4H,SEC: BLK: SRV:PHARRASS SQUIRE ABS:377,,SHLTR,,ACTIVE,2012-12-01,2013-04-30,,,EAGLE FORD-2,,
1420200098421,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,H&H UNIT B,009842,1,SEC: BLK: SRV:HARRIS ANDREW J ABS:220,BURLR,DILLO,,ACTIVE,2012-04-01,2013-04-30,,,EAGLE FORD-2,,
1420200098461,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,R MEISCHEN UNIT B,009846,1,SEC: BLK: SRV:BELL THADDEUS C ABS:65,BURLR,NABOC,,ACTIVE,2012-03-01,2013-04-30,,,EAGLE FORD-2,,
1420200098501H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,MATADOR PRODUCTION COMPANY,EAGLEVILLE,EAGLE FORD,FRANCES LEWTON,009850,1H,SEC: BLK: SRV:MCCOY JR JOHN ABS:30,COPFK,PLAML,,ACTIVE,2011-07-01,2013-04-30,,,EAGLE FORD-2,,
1420200098731,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,MAURER UNIT A,009873,1,SEC: BLK: SRV:ROBERSON WILLIAM ABS:401,BURLR,,,ACTIVE,2012-04-01,2013-04-30,,,EAGLE FORD-2,,
1420200098851,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,MAURER UNIT B,009885,1,SEC: BLK: SRV:ROBERSON WILLIAM ABS:401,BURLR,DILLO,,ACTIVE,2012-04-01,2013-04-30,,,EAGLE FORD-2,,
1420200098991,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,1,SEC: BLK: SRV:MANCHA THOMAS ABS:326,ENETR,ENTCO,,ACTIVE,2011-11-01,2013-04-30,,,EAGLE FORD-2,,
1420200098992,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,2,SEC: BLK: SRV:MANCHA THOMAS ABS:326,ENETR,GENEC,,ACTIVE,2012-04-01,2013-04-30,,,EAGLE FORD-2,,
1420200098993S,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,3S,SEC: BLK: SRV:ROSS JOHN E ABS:403,ENETR,GENEC,,ACTIVE,2012-05-01,2013-04-30,,,EAGLE FORD-2,,
1420200098994,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,4,SEC: BLK: SRV:ROSS JOHN E ABS:403,ENETR,GENEC,,ACTIVE,2012-06-01,2013-04-30,,,EAGLE FORD-2,,
1420200098995S,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,5S,SEC: BLK: SRV:ROSS JOHN E ABS:403,ENETR,GENEC,,ACTIVE,2012-06-01,2013-04-30,,,EAGLE FORD-2,,
1420200098996,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,6,SEC: BLK: SRV:ROSS JOHN E ABS:403,ENETR,ENTCO,,ACTIVE,2012-08-01,2013-04-30,,,EAGLE FORD-2,,
1420200098997,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,7,SEC: BLK: SRV:ROSS JOHN E ABS:403,ENETR,GENEC,,ACTIVE,2012-09-01,2013-04-30,,,EAGLE FORD-2,,
1420200098998,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,8,SEC: BLK: SRV:ROSS JOHN E ABS:403,ENETR,GENEC,,ACTIVE,2012-09-01,2013-04-30,,,EAGLE FORD-2,,
142020009899MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,ROSETTA RESOURCES OPERATING LP,EAGLEVILLE,EAGLE FORD,KLOTZMAN,009899,MULTI,SEC: BLK: SRV:MANCHA THOMAS ABS:326,,,,INACTIVE,2011-10-01,2011-10-31,,,EAGLE FORD-2,,
1420200099021H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,GEOSOUTHERN ENERGY CORPORATION,EAGLEVILLE,EAGLE FORD,CLARK A,009902,1H,SEC: BLK: SRV:COGSWELL MARY ABS:109,EAGHF,ENTCO,,ACTIVE,2011-03-01,2013-04-30,,,EAGLE FORD-2,,
1420200099041H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,GEOSOUTHERN ENERGY CORPORATION,EAGLEVILLE,EAGLE FORD,HEIBEL A,009904,1H,SEC: BLK: SRV:FULCHER BENJAMIN ABS:190,EAGHF,ENTCO,,ACTIVE,2011-03-01,2013-04-30,,,EAGLE FORD-2,,
1420200099051H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,GEOSOUTHERN ENERGY CORPORATION,EAGLEVILLE,EAGLE FORD,OLIVER C,009905,1H,SEC: BLK: SRV:MEP&P RR CO ABS:358,EAGHF,ENTCO,,ACTIVE,2011-04-01,2013-04-30,,,EAGLE FORD-2,,
1420200099071H,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,GEOSOUTHERN ENERGY CORPORATION,EAGLEVILLE,EAGLE FORD,WARWAS A,009907,1H,SEC: BLK: SRV:QUINN WILLIAM ABS:394,EAGHF,ENTCO,,ACTIVE,2011-04-01,2013-04-30,,,EAGLE FORD-2,,
242020250474,PI,WELL,G,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,DE WITT,EAGLE FORD,MARALDO A403,250474,1,SEC: BLK: SRV:ROSS JOHN E ABS:403,BURLR,NABOC,,ACTIVE,2010-06-01,2013-05-31,,,EAGLE FORD SHALE,2,
242020252842,PI,WELL,G,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,GEOSOUTHERN ENERGY CORPORATION,DE WITT,EAGLE FORD,MIGURA,252842,1,SEC: BLK: SRV:WHARTON JAMES ABS:475,EAGHF,ENTCO,,ACTIVE,2009-04-01,2013-05-31,,,EAGLE FORD SHALE,2,
242020254465,PI,WELL,G,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,PIONEER NATURAL RESOURCES USA INC,FLINTSTONE DIST 2,EAGLE FORD,FRIEDRICHS GAS UNIT,254465,1,SEC: BLK: SRV:LINAM JAMES W ABS:300,PNRUI,GULFM,,ACTIVE,2009-05-01,2013-05-31,,,CRETACEOUS CHALK,,
242020255061,PI,WELL,G,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,GEOSOUTHERN ENERGY CORPORATION,DE WITT,EAGLE FORD,KRAUSE,255061,1,SEC: BLK: SRV:LORD GEORGE ABS:318,EAGHF,ENTCO,,ACTIVE,2009-11-01,2013-05-31,,,EAGLE FORD SHALE,2,
242020256547,PI,WELL,G,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,PIONEER NATURAL RESOURCES USA INC,EAGLE RIDGE,EAGLE FORD,CHARLES RIEDESEL GU 1,256547,1,SEC: BLK: SRV:PUTMAN WILLIAM ABS:381,COPFL,GULFM,,ACTIVE,2010-03-01,2013-05-31,,,EAGLE FORD SHALE,,
242020256982,PI,WELL,G,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,GEOSOUTHERN ENERGY CORPORATION,DE WITT,EAGLE FORD,LANIK UNIT 1,256982,1,SEC: BLK: SRV:CHURMLEY THOMAS ABS:114,EAGHF,ENTCO,,ACTIVE,2010-03-01,2013-05-31,,,EAGLE FORD SHALE,2,
242020256985,PI,WELL,G,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,GEOSOUTHERN ENERGY CORPORATION,DE WITT,EAGLE FORD,KICKENDAHL UNIT 1,256985,1,SEC: BLK: SRV:COX SAM ABS:131,EAGHF,ENTCO,,ACTIVE,2010-05-01,2013-05-31,,,EAGLE FORD SHALE,2,
142010P53863MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,SANTE UNIT A 1H,,MULTI,SEC: BLK: SRV:HARMON JOHN A ABS:210,,,,ACTIVE,2012-11-01,2013-03-31,,,EAGLE FORD,,
142010P53864MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT B 1H,,MULTI,SEC:5 BLK: SRV:COTTLE GEORGE W ABS:35,,,,ACTIVE,2012-11-01,2013-04-30,,,EAGLE FORD,,
142010P56986MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT C 1H,,MULTI,SEC:5 BLK: SRV:COTTLE GEORGE W ABS:35,,,,ACTIVE,2013-03-01,2013-04-30,,,EAGLE FORD-1,,
142010P58157MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT 2H,,MULTI,SEC:5 BLK: SRV:COTTLE GEORGE W ABS:35,,,,ACTIVE,2013-04-01,2013-04-30,,,EAGLE FORD,,
142010P58159MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT B 2H,,MULTI,SEC:5 BLK: SRV:COTTLE GEORGE W ABS:35,,,,ACTIVE,2013-04-01,2013-04-30,,,EAGLE FORD,,
142010P58160MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT B 3H,,MULTI,SEC:5 BLK: SRV:COTTLE GEORGE W ABS:35,,,,ACTIVE,2013-04-01,2013-04-30,,,EAGLE FORD,,
142010P58161MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT C 2H,,MULTI,SEC:5 BLK: SRV:COTTLE GEORGE W ABS:35,,,,ACTIVE,2013-04-01,2013-04-30,,,EAGLE FORD,,
142010P58162MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT C 8H,,MULTI,SEC: BLK: SRV:DUFF J C ABS:167,,,,ACTIVE,2013-04-01,2013-04-30,,,EAGLE FORD,,
142010P58163MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 01,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT C 7H,,MULTI,SEC: BLK: SRV:DUFF J C ABS:167,,,,ACTIVE,2013-04-01,2013-04-30,,,EAGLE FORD,,
142020P51956MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,FAYETTE,GULF COAST BASIN,SANCHEZ OIL & GAS CORPORATION,EAGLEVILLE,EAGLE FORD,PROST UNIT 1H,,MULTI,SEC:5 BLK: SRV:COTTLE GEORGE W ABS:35,,,,ACTIVE,2012-08-01,2013-03-31,,,EAGLE FORD,,
