"","Entity","Uwi","Latitude","Longitude","Depth.True.Vertical","Tmax","S2","Romeasure","ClayChlo","waterporosity"
"1375","242020267704",42123324360000,29.04558,-97.51175,13576,484.560914812686,2.09306358862823,1.36621970758239,5.89106333302692,2.56858587145034
"1376","242020267709",42123324190000,29.15148,-97.32735,13901,490.178457985858,0.584069000053212,1.40898088097325,7.88144515805672,3.04253507627409
"1377","242020267713",42123325550000,29.04104,-97.49483,13672,487.06862994042,1.71502175174298,1.38517155095516,6.21297311699002,2.62836661769733
"1378","242020267752",42123324450000,28.98851,-97.56542,13564,485.452461328344,1.75957432295397,1.38038254629334,5.28173918254735,2.32364754318941
"1379","242020267753",42123324170000,29.0261,-97.53821,13453,483.758603265987,2.13796869468829,1.36107647889884,5.50168860632386,2.44938565796981
"1380","242020267759",42123324100000,29.09334,-97.42273,13669,490.35080712485,1.33497240946904,1.39452405264828,7.29029004690785,2.98458579169913
"1381","242020267921",42123326580000,29.21025,-97.29231,13439,483.737705525897,0.884356958399687,1.35339901382427,7.3605528879821,2.87591123626608
"1382","242020267976",42123326940000,29.11964,-97.35945,13956,494.60186628351,0.608726275900693,1.40660874708455,7.97077555404275,3.18856697900947
"1383","242020267978",42123325510000,29.17024,-97.39167,13529,479.347080477368,1.98091452042426,1.40093743500412,7.51540120813406,2.8689052863506
"1384","242020268011",42123326730000,29.09966,-97.4951,13075,480.019343631158,2.84564719776749,1.33723675997742,5.99839356713408,2.67279072697453
"1385","242020268013",42123324130000,28.9512,-97.5794,14190,489.465081541745,1.18318635447381,1.42395792527946,5.45514290965483,2.28745702400156
"1386","242020268020",42123326710000,29.09965,-97.49516,13364,480.013579846345,2.84664638359453,1.33718768836574,5.99729625471309,2.67256544965654
"1387","242020268027",42123326140000,29.15791,-97.40498,13587,481.304926800996,2.03730108981839,1.38850746848074,7.41543509037189,2.92266093501285
"1388","242020268029",42123326330000,29.15609,-97.41213,13508,480.850376206325,2.15202300475414,1.38388487599525,7.31871184650488,2.90704314231665
"1389","242020268030",42123326570000,29.30144,-97.26123,13276,475.692972333061,1.67665074404868,1.23467686216737,6.55961888771017,2.85250430452391
"1390","242020268197",42123323640000,29.22582,-97.21123,13970,488.638623857388,-0.0484767812038145,1.3557832183275,7.86675276390076,2.99642331492583
