Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,1st Mo - Oil,1st Mo - Gas,1st Mo - Water,Max IP - Oil,Max IP - Gas,Max IP - Water,Max IP - Date - Oil,Max IP - Date - Gas,Max IP - Date - Water,2nd Mo - Oil,2nd Mo - Gas,2nd Mo - Water,2nd/3rd Mo - Oil,2nd/3rd Mo - Gas,2nd/3rd Mo - Water,2nd/3rd Mo - Num of Mos,2nd-4th Mo - Oil,2nd-4th Mo - Gas,2nd-4th Mo - Water,2nd-4th Mo - Num of Mos,Norm 6 mos - Oil,Norm 6 mos - Gas,Norm 6 mos - Water,Norm 6 mos - Num of Mos,Norm 1 yr - Oil,Norm 1 yr - Gas,Norm 1 yr - Water,Norm 1 yr - Num of Mos,Norm 2 yr - Oil,Norm 2 yr - Gas,Norm 2 yr - Water,Norm 2 yr - Num of Mos,Cum Oil,Cum Gas,Last 12 Month Oil,Last 12 Month Gas
1420100153196601 H,PI,ALLOCATED,O,COMANCHE,6601 H,42127337370000,,351,2377,12456,36,,1281,2010-11-27,,2010-11-27,396,1661,11343,2277,7799,55502,2,3642,12533,82046,3,7276,21695,132532,6,9848,35984,152272,12,9988,39947,152569,14,10339,42324,7711,32148
1420100153201H,PI,ALLOCATED,O,ALLEE UNIT E,1H,42127339150000,,6166,3738,5531,,,,,,,6087,3150,5381,6485,3323,5727,2,6485,3323,5727,3,6485,3323,5727,6,31212,25359,23763,12,40156,28733,30269,20,46322,32471,25314,21319
142010015323A  2H,PI,ALLOCATED,O,NAEGELI,A  2H,42127338860000,,613,,,,,,,,,11982,9481,3689,20689,26080,6353,2,28590,48048,8750,3,43407,115877,13092,6,52125,203900,13695,12,68317,275182,13921,21,68930,275182,21343,125069
142010015323B  1H,PI,ALLOCATED,O,NAEGELI,B  1H,42127338970000,,1647,752,236,,,,,,,12566,6257,1441,22389,9456,2507,2,32166,12613,3498,3,56853,22399,5531,6,93512,55552,6844,12,115940,91800,7199,21,117587,92552,40360,54935
142010015323C  1H,PI,ALLOCATED,O,NAEGELI,C  1H,42127338990000,,1421,1351,323,,,,,,,10384,10136,1933,18083,14881,3340,2,25260,19161,4619,3,40119,29628,7035,6,63406,59191,9071,12,89890,93852,10375,21,91311,95203,39980,52316
1420100153291H,PI,ALLOCATED,O,JOHN STRAIT,1H,42127337650000,,1738,648,2119,524,,639,2011-03-25,,2011-03-25,9824,5555,11980,21908,10922,26716,2,31700,16120,38657,3,45861,32669,55926,6,62266,53049,75932,12,80780,79789,98509,24,83941,82066,18256,27023
1420100153301H,PI,ALLOCATED,O,PISTOL UNIT,1H,42127338080000,,1477,4570,2262,,,,,,,2006,8151,3073,3152,13177,4828,2,4021,17609,6159,3,5836,32713,8939,6,7240,47737,11090,12,9400,73508,14400,20,10877,78078,2900,33779
142010015331A  1H,PI,ALLOCATED,O,PILONCILLO,A  1H,42127337520100,,1645,,,251,,182,2011-01-06,,2011-01-06,5096,34017,3697,8858,62807,6388,2,12520,82063,8965,3,22816,157553,15945,6,45560,357930,29035,12,50182,385241,30370,20,51827,385241,21134,191689
1420100153341H,PI,ALLOCATED,O,JBGS UNIT,1H,42127337280000,,156,87,,,,,,,,2006,1268,,4595,2255,6409,2,7660,4048,13996,3,15291,8705,32887,6,26043,13165,59505,12,43251,22360,102105,24,44536,23026,16573,9071
1420100153351H,PI,ALLOCATED,O,VOLTZ UNIT B,1H,42127338100000,,1905,1079,18833,79,,781,2011-03-19,,2011-03-19,3924,2378,38793,7016,5783,69361,2,9264,9705,91585,3,14141,17901,139799,6,19983,27072,197554,12,26967,41991,266598,24,29237,43336,6619,14218
1420100153361,PI,ALLOCATED,O,LIGHT RANCH,1,42127337070100,,8963,28761,11424,1005,,1281,2010-11-18,,2010-11-18,4325,16424,5504,8073,28818,10270,2,10823,36284,13764,3,18863,38821,23960,6,26486,52492,33573,12,33292,58671,41918,24,44285,102231,4899,16995
1420100153481H,PI,ALLOCATED,O,JBGS,1H,42127336920000,,1388,1455,,292,,911,2010-11-01,,2010-11-01,82,178,256,82,178,256,2,85,178,265,3,14111,7949,44023,6,37468,24459,116894,12,57195,40650,178440,24,64883,46443,15791,13067
1420100153531H,PI,ALLOCATED,O,HATCH,1H,42127336130000,,2791,6754,10234,288,,1056,2010-03-25,,2010-03-25,3251,13742,11920,4840,21795,17746,2,7037,27539,25802,3,12551,52634,46019,6,20677,101298,75815,12,31334,162649,114893,24,39086,198612,8085,47973
1420100153571301H,PI,ALLOCATED,O,JRED RANCH B,1301H,42127338730000,,1937,2684,1030,,,,,,,1037,1006,552,2033,3709,1082,2,3086,6640,1642,3,5598,10766,2978,6,8833,13649,4700,12,11932,14135,6348,21,13869,16819,4556,1123
1420100153605H,PI,ALLOCATED,O,PENA CREEK III UNIT A,5H,42127337140000,,25,1009,,,,,,,,8323,4057,,13236,17938,,2,15358,22088,,3,18454,32705,,6,20298,33468,,12,29437,57347,,24,31301,60896,8279,20094
1420100153631H,PI,ALLOCATED,O,BOYD G G,1H,42127337500000,,853,,2885,82,,277,2011-04-26,,2011-04-26,1768,358,5303,3665,530,10324,2,5682,530,14986,3,19536,10323,38661,6,35224,21244,50131,12,53024,48061,57127,24,53877,48061,17800,26817
1420100153702301H,PI,ALLOCATED,O,MORO CREEK,2301H,42127344950000,,925,,,504,,9,2012-04-17,,2012-04-17,8397,13305,140,17809,29625,348,2,24982,43614,558,3,49245,95358,1731,6,69258,155263,2988,12,71862,163941,3153,13,72787,163941,63465,150636
1420100153702401H,PI,ALLOCATED,O,MORO CREEK,2401H,42127338490000,,7681,19771,7332,528,,504,2011-05-18,,2011-05-18,6955,19623,6683,25983,24311,24238,2,40255,30872,37265,3,62803,46285,59438,6,86010,72223,84490,12,100454,110306,92078,23,108135,130077,17593,41645
1420100153702402H,PI,ALLOCATED,O,MORO CREEK,2402H,42127338810000,,16504,30765,6028,697,,267,2011-09-17,,2011-09-17,13118,40142,4665,23944,71692,8361,2,34802,113055,11944,3,57920,207613,19201,6,88838,287514,27855,12,96493,318519,28119,19,112997,349284,32379,98559
1420100153702403H,PI,ALLOCATED,O,MORO CREEK,2403H,42127345210000,,10796,22310,7476,648,,480,2012-04-17,,2012-04-17,12202,26731,7046,21594,49188,11280,2,34153,79275,14899,3,61002,151459,17013,6,89509,244541,17976,12,89509,244541,17976,12,100305,266851,89509,244541
1420100153702601H,PI,ALLOCATED,O,MORO CREEK,2601H,42127342930000,,3441,17075,10160,192,,624,2011-11-15,,2011-11-15,3519,21497,9814,6382,38681,17302,2,8612,52516,22760,3,16190,82621,40182,6,26850,123496,51637,12,30058,140501,51637,17,33499,157576,16398,65513
1420100153703301H,PI,ALLOCATED,O,MORO CREEK,3301H,42127339120000,,405,,,288,,180,2011-07-29,,2011-07-29,11873,56451,6945,20370,114168,11430,2,25627,146056,14072,3,34631,229918,17009,6,44591,299135,18446,12,54259,346169,18893,22,54664,346169,12714,60108
1420100153703304H,PI,ALLOCATED,O,MORO CREEK,3304H,42127346620000,,10618,26509,7757,624,,480,2012-06-25,,2012-06-25,14835,38083,9958,28401,75647,18173,2,40440,110155,24783,3,66284,187972,34381,6,89380,269264,35843,10,89380,269264,35843,10,99998,295773,99998,295773
1420100153703401H,PI,ALLOCATED,O,MORO CREEK,3401H,42127348400000,,976,,,436,,550,2012-10-05,,2012-10-05,8293,22678,9957,16144,45168,11261,2,23942,68462,12555,3,43824,130105,15858,6,49861,149645,16862,7,49861,149645,16862,7,50837,149645,50837,149645
1420100153751H,PI,ALLOCATED,O,PENA CREEK I,1H,42127337010000,,2216,1010,7519,145,,492,2010-09-19,,2010-09-19,1945,3473,6544,2396,3854,8051,2,2738,3992,9185,3,2738,3992,9187,6,11135,12969,34974,12,16265,30102,48517,24,18816,31732,918,3272
1420100153754H,PI,ALLOCATED,O,PENA CREEK I,4H,42127337150000,,992,461,4187,151,,638,2011-09-26,,2011-09-26,1773,2258,7363,2496,2981,10314,2,3096,3906,12711,3,6078,11075,24094,6,11019,22164,39424,12,14768,28928,42370,19,15760,29389,7807,16249
1420100153755H,PI,ALLOCATED,O,PENA CREEK I,5H,42127338030000,,2854,4667,4763,,,,,,,2972,7323,4696,4426,14301,6856,2,5189,16150,7906,3,7432,25212,10459,6,11298,47831,12822,12,16735,79947,14967,22,19589,84614,6751,42119
1420100153756H,PI,ALLOCATED,O,PENA CREEK I,6H,42127337160000,,316,277,1476,122,,571,2010-12-03,,2010-12-03,1,0,3,2,0,6,2,2,0,6,3,3545,3801,14095,6,7978,19627,28546,12,11596,48883,32534,24,12713,57092,3012,27556
1420100153771H,PI,ALLOCATED,O,MONTEMAYOR,1H,42127338840000,,3993,1255,,,,,,,,1672,6600,,2384,7552,,2,3405,9543,825,3,5939,18023,2885,6,9199,23256,5834,12,12697,23256,9122,22,16690,24511,4489,
14201001537811H,PI,ALLOCATED,O,RANGER BEALL RANCH,11H,42127342840000,,2992,2367,2742,300,,275,2012-04-28,,2012-04-28,7809,3101,6707,15721,8552,12999,2,22999,16106,18276,3,41245,44767,28628,6,62989,102168,32698,11,62989,102168,32698,11,65981,104535,65981,104535
14201001537812H,PI,ALLOCATED,O,RANGER BEALL RANCH,12H,42127342860000,,2992,1600,2792,300,,280,2012-04-28,,2012-04-28,8010,1985,6843,16348,5424,13280,2,24244,10204,18696,3,45347,29096,29361,6,74246,71294,33711,11,74246,71294,33711,11,77238,72894,77238,72894
14201001537813H,PI,ALLOCATED,O,RANGER BEALL RANCH,13H,42127342850000,,3191,2014,3092,320,,310,2012-04-25,,2012-04-25,8416,2420,7607,17038,6506,14798,2,25065,12057,20888,3,45747,32961,33206,6,71993,76104,39403,11,71993,76104,39403,11,75184,78118,75184,78118
14201001537817H,PI,ALLOCATED,O,RANGER BEALL RANCH,17H,42127345700000,,16278,4060,3930,580,,140,2012-07-06,,2012-07-06,15012,4144,3280,28255,9741,5830,2,40011,16596,7742,3,69620,35077,10343,6,85402,50517,10988,8,85402,50517,10988,8,101680,54577,101680,54577
14201001537818H,PI,ALLOCATED,O,RANGER BEALL RANCH,18H,42127345870000,,10149,2376,4205,350,,145,2012-06-30,,2012-06-30,9586,2933,3536,18770,5573,6514,2,27219,8865,8855,3,49934,19945,12776,6,69612,31217,13926,9,69612,31217,13926,9,79761,33593,79761,33593
14201001537819H,PI,ALLOCATED,O,RANGER BEALL RANCH,19H,42127345880000,,15156,3622,4210,540,,150,2012-07-06,,2012-07-06,13781,3610,3612,25741,8379,6527,2,36156,14083,8836,3,61108,28693,12909,6,73967,40422,14501,8,73967,40422,14501,8,89123,44044,89123,44044
1420100153871H,PI,ALLOCATED,O,BLAKEWAY UNIT A DIM,1H,42127338480000,,942,1802,2434,,,,,,,2573,3748,6647,2573,3748,6647,2,2573,3748,6647,3,8235,10207,21275,6,95774,131563,247434,12,158124,246103,408517,23,159066,247905,73123,134652
1420100153891H,PI,ALLOCATED,O,CIRCLE T UNIT A,1H,42127337960000,,1304,2794,2870,,,,,,,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,7427,9680,16349,12,24484,123591,53896,24,26623,133425,13402,108346
1420100154071H,PI,ALLOCATED,O,ALLEE UNIT D,1H,42127338310000,,728,366,1206,,,,,,,2247,897,2133,4126,1756,3916,2,5109,2171,4849,3,10761,4750,10213,6,20905,9181,19841,12,27929,11859,26508,17,28657,12225,19095,7967
1420100154211H,PI,ALLOCATED,O,WHITECOTTON UNIT A,1H,42127338600000,,448,177,1097,,,,,,,3469,9460,8181,5270,16057,12235,2,6518,21144,14880,3,8627,31754,18648,6,12062,56088,20747,12,12701,58684,21048,19,13149,58861,2688,18248
1420100154233H,PI,ALLOCATED,O,PENA CREEK III UNIT C,3H,42127338510000,,680,,2809,,,,,,,0,,0,0,,0,2,2861,1132,2628,3,13370,8088,6372,6,22362,20560,9575,12,28555,25022,11781,19,29235,25022,13394,15347
1420100154282H,PI,ALLOCATED,O,ROGERS,2H,42127339070000,,3198,1624,1776,,,,,,,6141,3340,3405,11228,6509,6212,2,11228,6509,6212,3,11228,6509,6212,6,11228,6509,6212,12,21023,10168,11020,20,24221,11792,9795,3659
142010015428B  2H,PI,ALLOCATED,O,ROGERS,B  2H,42127339070000,,3199,1625,1777,,,,,,,6141,3341,3405,11228,6510,6212,2,11228,6510,6212,3,11228,6510,6212,6,11228,6510,6212,12,21026,10170,11023,20,24225,11795,9798,3660
