Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,Hole Direction,Unit Well Number,Depth Total Maximum,Perforation Upper,Perforation Lower,Status Prod Current Name,Surface Latitude,Surface Longitude,Surface LL Source,Type Name,Date Completion,Date Abandonment,Play Name,Play Type
242010260271,PI,WELL,G,BRISCOE FRIDAY RANCH,9H,42127337570000,260271,HORIZONTAL,1,13727,9090,13418,ACTIVE,+28.29220, -99.73599,TS,ACTIVE PRODUCING-GENERAL,2011-02-07,,,
242010260310,PI,WELL,G,BEINHORN RANCH,6H,42127337610000,260310,HORIZONTAL,1,13214,8510,13063,ACTIVE,+28.31680, -99.69537,TS,ACTIVE PRODUCING-GENERAL,2011-01-17,,,
242010260354,PI,WELL,G,BRISCOE CATARINA WEST,12H,42127337530000,260354,HORIZONTAL,1,13498,8486,13353,ACTIVE,+28.28345, -99.87082,TS,ACTIVE PRODUCING-GENERAL,2011-02-27,,,
242010260364,PI,WELL,G,BRISCOE CATARINA WEST,13H,42127337620000,260364,HORIZONTAL,1,13450,8085,13309,ACTIVE,+28.28345, -99.87090,TS,ACTIVE PRODUCING-GENERAL,2011-02-28,,,
242010260365,PI,WELL,G,BRISCOE CATARINA WEST,14H,42127337630000,260365,HORIZONTAL,1,13177,8632,13040,ACTIVE,+28.28345, -99.87098,TS,ACTIVE PRODUCING-GENERAL,2011-02-27,,,
242010260366,PI,WELL,G,BRISCOE CATARINA SOUTH,5H,42127337700000,260366,HORIZONTAL,1,13341,8087,13238,ACTIVE,+28.26886, -99.86077,TS,ACTIVE PRODUCING-GENERAL,2011-03-05,,,
242010260367,PI,WELL,G,BRISCOE CATARINA SOUTH,6H,42127337710000,260367,HORIZONTAL,1,13296,8449,13168,ACTIVE,+28.26879, -99.86077,TS,ACTIVE PRODUCING-GENERAL,2011-03-05,,,
242010260368,PI,WELL,G,BRISCOE CATARINA SOUTH,4H,42127337690000,260368,HORIZONTAL,1,13490,8610,13329,ACTIVE,+28.26893, -99.86077,TS,ACTIVE PRODUCING-GENERAL,2011-03-05,,,
242010260372,PI,WELL,G,BRISCOE CATARINA SOUTH,1H,42127337830000,260372,HORIZONTAL,1,13620,8831,13502,ACTIVE,+28.26950, -99.87100,TS,ACTIVE PRODUCING-GENERAL,2011-03-27,,,
242010260373,PI,WELL,G,BRISCOE CATARINA SOUTH,2H,42127337840000,260373,HORIZONTAL,1,13600,8856,13479,ACTIVE,+28.26943, -99.87100,TS,ACTIVE PRODUCING-GENERAL,2011-03-27,,,
242010260374,PI,WELL,G,BRISCOE CATARINA SOUTH,3H,42127337850000,260374,HORIZONTAL,1,13525,8908,13341,ACTIVE,+28.26936, -99.87100,TS,ACTIVE PRODUCING-GENERAL,2011-03-21,,,
242010260393,PI,WELL,G,GATES 010 CHK-B TR 1,7H,42127338140000,260393,HORIZONTAL,1,16199,8277,16102,ACTIVE,+28.21257, -99.83581,TS,ACTIVE PRODUCING-GENERAL,2011-02-19,,,
242010260405,PI,WELL,G,ROGERS DENTONIO RANCH,4H,42127338460000,260405,HORIZONTAL,1,12875,7808,12719,ACTIVE,+28.28646, -99.91629,TS,ACTIVE PRODUCING-GENERAL,2011-04-19,,,
242010260409,PI,WELL,G,BRISCOE CATARINA WEST,15H,42127337770000,260409,HORIZONTAL,1,13597,8548,13459,ACTIVE,+28.28135, -99.88059,TS,ACTIVE PRODUCING-GENERAL,2011-04-11,,,
242010260410,PI,WELL,G,BRISCOE CATARINA WEST,16H,42127337780000,260410,HORIZONTAL,1,13305,8276,13158,ACTIVE,+28.28135, -99.88067,TS,ACTIVE PRODUCING-GENERAL,2011-04-12,,,
242010260411,PI,WELL,G,BRISCOE CATARINA WEST,17H,42127337790000,260411,HORIZONTAL,1,13433,8500,13298,ACTIVE,+28.28135, -99.88074,TS,ACTIVE PRODUCING-GENERAL,2011-04-12,,,
242010260413,PI,WELL,G,BRISCOE CATARINA RANCH,16H,42127337900000,260413,HORIZONTAL,1,13658,8856,13532,ACTIVE,+28.29083, -99.78790,TS,ACTIVE PRODUCING-GENERAL,2011-04-08,,,
242010260429,PI,WELL,G,GATES 010 CHK-B TR 1,8H,42127338130000,260429,HORIZONTAL,1,15982,8462,15798,ACTIVE,+28.21257, -99.83587,TS,ACTIVE PRODUCING-GENERAL,2011-03-21,,,
242010260432,PI,WELL,G,SOUTH SPUR RANCH,1H,42127336330000,260432,HORIZONTAL,1,11790,7950,11643,ACTIVE,+28.36955, -99.92322,TS,ACTIVE PRODUCING-GENERAL,2010-01-13,,,
242010260446,PI,WELL,G,ROGERS DENTONIO RANCH,6H,42127338640000,260446,HORIZONTAL,1,12702,8023,12519,ACTIVE,+28.28648, -99.92301,TS,ACTIVE PRODUCING-GENERAL,2011-09-14,,,
242010260476,PI,WELL,G,BRISCOE FRIDAY RANCH,5H,42127337210000,260476,HORIZONTAL,1,14170,8665,14028,ACTIVE,+28.26016, -99.71000,TS,ACTIVE PRODUCING-GENERAL,2010-11-29,,,
242010260479,PI,WELL,G,BRISCOE FRIDAY RANCH,6H,42127337220000,260479,HORIZONTAL,1,14243,9360,14093,ACTIVE,+28.26020, -99.71011,TS,ACTIVE PRODUCING-GENERAL,2010-11-29,,,
242010260504,PI,WELL,G,BRISCOE CATARINA NORTH,5H,42127338050000,260504,HORIZONTAL,1,13144,8092,13003,ACTIVE,+28.31739, -99.81410,TS,ACTIVE PRODUCING-GENERAL,2011-03-24,,,
242010260505,PI,WELL,G,BRISCOE CATARINA NORTH,6H,42127338060000,260505,HORIZONTAL,1,13292,8616,13143,ACTIVE,+28.31739, -99.81418,TS,ACTIVE PRODUCING-GENERAL,2011-03-24,,,
242010260507,PI,WELL,G,MAUND RANCH,1H,42127338660000,260507,HORIZONTAL,1,12084,7013,11977,ACTIVE,+28.29739, -99.96570,TS,ACTIVE PRODUCING-GENERAL,2011-05-23,,,
242010260512,PI,WELL,G,DIAMOND H RANCH,4H,42127338920000,260512,HORIZONTAL,1,13390,8022,13056,INACTIVE,+28.38865, -99.55218,TS,ABANDONED-GENERAL,2011-06-13,,,
242010260513,PI,WELL,G,DIAMOND H STATE,4H,42127338780000,260513,HORIZONTAL,1,13350,8074,13243,INACTIVE,+28.39014, -99.55363,TS,ABANDONED-GENERAL,2011-06-03,,,
242010260607,PI,WELL,G,BEINHORN RANCH,8H,42127338720000,260607,HORIZONTAL,1,14275,8865,14139,ACTIVE,+28.28905, -99.68717,TS,ACTIVE PRODUCING-GENERAL,2011-06-11,,,
242010260658,PI,WELL,G,BRISCOE CATARINA NORTH,4H,42127338040000,260658,HORIZONTAL,1,13363,8603,13180,ACTIVE,+28.31739, -99.81402,TS,ACTIVE PRODUCING-GENERAL,2011-03-24,,,
242010260660,PI,WELL,G,BRISCOE CARLA RANCH,22H,42127338850000,260660,HORIZONTAL,1,12250,7815,12097,ACTIVE,+28.34287, -99.85528,TS,ACTIVE PRODUCING-GENERAL,2011-06-04,,,
242010260870,PI,WELL,G,BRISCOE FRIDAY RANCH,8H,42127337560000,260870,HORIZONTAL,1,13543,8540,13408,ACTIVE,+28.29227, -99.73599,TS,ACTIVE PRODUCING-GENERAL,2011-02-07,,,
242010260871,PI,WELL,G,BRISCOE CATARINA WEST,9H,42127338010000,260871,HORIZONTAL,1,13105,7996,13008,ACTIVE,+28.28944, -99.86019,TS,ACTIVE PRODUCING-GENERAL,2011-03-03,,,
242010260879,PI,WELL,G,BRISCOE CATARINA NORTH,7H,42127338250000,260879,HORIZONTAL,1,13577,8555,13473,ACTIVE,+28.29644, -99.82015,TS,ACTIVE PRODUCING-GENERAL,2011-05-28,,,
242010260880,PI,WELL,G,BRISCOE CATARINA NORTH,8H,42127338260000,260880,HORIZONTAL,1,13360,8090,13258,ACTIVE,+28.29644, -99.82008,TS,ACTIVE PRODUCING-GENERAL,2011-05-28,,,
242010260881,PI,WELL,G,BRISCOE CHIP EAST RANCH,4H,42127338520000,260881,HORIZONTAL,1,13376,8470,13285,ACTIVE,+28.33303, -99.67328,TS,ACTIVE PRODUCING-GENERAL,2011-05-29,,,
242010260882,PI,WELL,G,BRISCOE CHIP EAST RANCH,5H,42127338530000,260882,HORIZONTAL,1,13460,8194,13367,ACTIVE,+28.33308, -99.67323,TS,ACTIVE PRODUCING-GENERAL,2011-05-31,,,
242010260883,PI,WELL,G,BRISCOE CHIP EAST RANCH,6H,42127338540000,260883,HORIZONTAL,1,13680,8625,13536,ACTIVE,+28.33313, -99.67318,TS,ACTIVE PRODUCING-GENERAL,2011-05-29,,,
242010260884,PI,WELL,G,BEINHORN RANCH,7H,42127338710000,260884,HORIZONTAL,1,13965,8678,13817,ACTIVE,+28.28630, -99.68708,TS,ACTIVE PRODUCING-GENERAL,2011-06-10,,,
