UWI,State,County Name,District Name,Latitude,Longitude
42013340200000,TX,ATASCOSA,RR DISTRICT 01,28.81443977,-98.17001343
42013340230000,TX,ATASCOSA,RR DISTRICT 01,28.87710953,-98.24069977
42013340300000,TX,ATASCOSA,RR DISTRICT 01,28.8156395,-98.18247986
42013340390002,TX,ATASCOSA,RR DISTRICT 01,28.93347931,-98.32055664
42013340730000,TX,ATASCOSA,RR DISTRICT 01,28.93934059,-98.76217651
42013340770000,TX,ATASCOSA,RR DISTRICT 01,28.9457798,-98.76853943
42013340780000,TX,ATASCOSA,RR DISTRICT 01,28.94146919,-98.77345276
42013340810000,TX,ATASCOSA,RR DISTRICT 01,28.90413094,-98.39959717
42013340850000,TX,ATASCOSA,RR DISTRICT 01,28.94924927,-98.76406097
42013340860000,TX,ATASCOSA,RR DISTRICT 01,28.92733002,-98.33132935
42013340880000,TX,ATASCOSA,RR DISTRICT 01,28.92980003,-98.32843018
42013340890000,TX,ATASCOSA,RR DISTRICT 01,28.95713997,-98.78018188
42013340920000,TX,ATASCOSA,RR DISTRICT 01,28.94347,-98.74796295
42013340930000,TX,ATASCOSA,RR DISTRICT 01,28.95532036,-98.78684235
42013341030000,TX,ATASCOSA,RR DISTRICT 01,28.76160049,-98.22286224
42013341390000,TX,ATASCOSA,RR DISTRICT 01,28.87832069,-98.6159668
42013341970000,TX,ATASCOSA,RR DISTRICT 01,28.77770042,-98.21459198
42013341980000,TX,ATASCOSA,RR DISTRICT 01,28.78467941,-98.19851685
42013342060000,TX,ATASCOSA,RR DISTRICT 01,29.09044075,-98.73680878
42013342170000,TX,ATASCOSA,RR DISTRICT 01,29.07835007,-98.5823288
42013343077000,TX,ATASCOSA,RR DISTRICT 01,28.76271057,-98.17305756
42013343140000,TX,ATASCOSA,RR DISTRICT 01,28.72685051,-98.62957764
42013343597000,TX,ATASCOSA,RR DISTRICT 01,28.73439026,-98.28507996
42013343837000,TX,ATASCOSA,RR DISTRICT 01,28.70142937,-98.4586792
42013344360000,TX,ATASCOSA,RR DISTRICT 01,28.91958046,-98.34142303
42013344490000,TX,ATASCOSA,RR DISTRICT 01,28.92251015,-98.33834839
42013344687000,TX,ATASCOSA,RR DISTRICT 01,28.83131981,-98.3004837
42013344697000,TX,ATASCOSA,RR DISTRICT 01,28.84791946,-98.31227112
42013345740000,TX,ATASCOSA,RR DISTRICT 01,28.79387093,-98.23747253
42013346390000,TX,ATASCOSA,RR DISTRICT 01,28.75014496,-98.53620911
42025305160000,TX,BEE,RR DISTRICT 02,28.66373062,-97.93103027
42025309070000,TX,BEE,RR DISTRICT 02,28.67074013,-97.93334198
42025336770000,TX,BEE,RR DISTRICT 02,28.6274395,-98.0434494
42123009780000,TX,DE WITT,RR DISTRICT 02,29.12579918,-97.57965088
42123302790000,TX,DE WITT,RR DISTRICT 02,29.07291031,-97.37693787
42123309050000,TX,DE WITT,RR DISTRICT 02,29.02396965,-97.51125336
42123309210000,TX,DE WITT,RR DISTRICT 02,29.03095055,-97.5121994
42123320880000,TX,DE WITT,RR DISTRICT 02,29.21978951,-97.16190338
42123322027000,TX,DE WITT,RR DISTRICT 02,29.00775909,-97.61978149
42123322147000,TX,DE WITT,RR DISTRICT 02,29.11269951,-97.31494904
42123322520000,TX,DE WITT,RR DISTRICT 02,29.12204933,-97.52163696
42123322550000,TX,DE WITT,RR DISTRICT 02,29.0258007,-97.47450256
42123322810000,TX,DE WITT,RR DISTRICT 02,28.95251083,-97.58984375
42123322847000,TX,DE WITT,RR DISTRICT 02,29.19732094,-97.41649628
42123322957000,TX,DE WITT,RR DISTRICT 02,29.01637077,-97.54859924
42123323080000,TX,DE WITT,RR DISTRICT 02,29.01021957,-97.5860672
