"Uwi","Latitude","Longitude","Production.P10","Production.P50","Production.P90"
"42311348320000",28.44936,-98.35352,217.76325508182,144.631062723909,57.4460198002398
"42311348340000",28.38097,-98.57476,185.162894934653,103.408074509017,17.7920300661896
"42311348350000",28.43893,-98.3643,217.256860519039,134.17272833076,56.5865297225086
"42311348370000",28.56583,-98.42099,167.428652898463,86.2185844828548,1.89310419490176
"42311348380000",28.56583,-98.42105,167.984244223426,80.262799466515,0
"42311348390000",28.43856,-98.37718,220.725652343856,140.678292969921,50.4293697324773
"42311348410000",28.45663,-98.60168,171.06654730935,87.9630781482749,2.49945110205111
"42311348420000",28.45667,-98.60168,172.31651481304,90.6944329414366,3.82372729462893
"42311348440000",28.56937,-98.67768,138.149734071518,62.0705354082676,0
"42311348450000",28.56937,-98.67762,142.2844659945,67.2829579088581,0
"42311348490000",28.64427,-98.3849,153.626203502367,64.9370455543117,0
"42311348510000",28.55584,-98.59004,147.915021738429,73.0280047754654,0
"42311348520000",28.51557,-98.53135,157.936850569248,79.9755671713459,0
"42311348650000",28.40718,-98.44589,210.849864100143,137.651036526336,47.7120474000689
"42311348660000",28.51558,-98.53153,167.224243455792,83.0120939734475,0.116251141752047
"42311348670000",28.52979,-98.64044,143.063712123304,70.5487571546303,0
"42311348690000",28.44556,-98.34966,220.1706591471,139.284420471457,51.6280664486655
"42311348700000",28.46095,-98.45203,181.458883422835,97.8618124850407,12.9593999349735
"42311348710000",28.39938,-98.63125,171.885970769741,83.6796687864668,3.38471951172797
"42311348730000",28.51022,-98.69333,149.485547248777,67.8133518724958,0
"42311348740000",28.51017,-98.69337,139.871347343001,61.858387481587,0
"42311348750000",28.55581,-98.41302,175.787282451192,80.0628328688244,0
"42311348790000",28.46094,-98.45222,179.18184266928,93.6521666803112,16.0771882939413
"42311348820000",28.51011,-98.69341,144.928176056015,64.872148787353,0
"42311348840000",28.42712,-98.5874,165.293646922571,84.4165223345129,4.18300074270215
"42311348890000",28.42709,-98.58745,170.55983811294,79.6621854516938,0
"42311348910000",28.35708,-98.43785,224.945774805364,147.456103317518,54.7321981635642
"42311348920000",28.44537,-98.34906,218.351135707392,143.242746250654,48.9141998280937
"42311348930000",28.55588,-98.41304,160.910550345095,76.9301439493987,0
"42311348940000",28.43766,-98.61269,169.636305725112,86.9466471121647,2.16001607040289
"42311348950000",28.34366,-98.53423,229.416301240651,145.139179279443,55.0975642060885
"42311348960000",28.40645,-98.36861,228.333403561539,146.08174652521,57.588979839764
"42311348970000",28.40825,-98.37568,229.507221274233,148.949611674871,61.7825744158672
"42311349000000",28.56794,-98.43842,156.348522298744,72.9220996985738,0
"42311349010000",28.41698,-98.4376,219.112651106267,129.947894865119,39.9656935273704
"42311349020000",28.59343,-98.54485,156.643923082077,74.2288826588363,0
"42311349030000",28.59343,-98.54481,156.325107598369,75.3615633455788,0
"42311349050000",28.62627,-98.56127,145.799508172942,63.5281392394231,0
"42311349070000",28.40644,-98.36856,224.107152020429,148.22499791416,56.8037534987422
"42311349080000",28.61125,-98.46233,149.629993827257,65.7528818971169,0
"42311349090000",28.34313,-98.54078,221.755440906329,145.907273613448,61.8589422491216
"42311349110000",28.62888,-98.34808,163.907960312701,77.6592431809002,5.10297358618637
"42311349120000",28.62888,-98.34816,169.714337935702,82.5020839579077,4.29300960985934
"42311349130000",28.47358,-98.71449,140.570231120431,59.0979487721652,0
"42311349140000",28.59401,-98.4547,158.36803214138,72.412573080443,0
"42311349150000",28.40333,-98.36305,221.874474744565,141.916526254137,47.6063091838415
"42311349170000",28.40426,-98.35681,225.202773115078,149.251791477075,60.274252090604
"42311349200000",28.51005,-98.69345,148.691730082978,66.6154663235645,0
