"Uwi","Latitude","Longitude","Production.P10","Production.P50","Production.P90"
"42013342710000",28.95393,-98.33186,25.8986485156199,14.1991539123121,1.80881046089361
"42013342710000",28.95393,-98.33186,26.3438991732892,14.0404154745343,1.89174311368759
"42013342730000",28.72858,-98.45566,19.4721191146352,8.90177303752774,0
"42013342730000",28.72858,-98.45566,19.6734154134824,8.6559821369491,0
"42013342780100",28.69723,-98.47085,18.6123154496632,6.21408919134243,0
"42013342820000",28.72055,-98.45599,19.7264978351515,7.00812323210297,0
"42013342820000",28.72055,-98.45599,19.2290162157018,7.4375262678174,0
"42013342840000",28.72949,-98.44741,19.392575789022,8.38410138599422,0
"42013342850000",28.73376,-98.44096,19.4584254616117,8.26901687055354,0
"42013342850000",28.73376,-98.44096,19.5310239804612,8.78816000042654,0
"42013342890000",28.71146,-98.50213,20.1978256227941,8.63391781719179,0
"42013342900000",28.73063,-98.44323,19.6549235336267,7.7636792037527,0
"42013342900000",28.73063,-98.44323,19.1660434806821,7.62209080911992,0
"42013342910100",28.78932,-98.16767,21.8059745877561,10.8485291703034,0
"42013342910100",28.78932,-98.16767,21.9992717443286,10.7120027187013,0
"42013343060000",28.77687,-98.15413,24.1721990759011,12.8528687096591,2.92357430941773
"42013343070000",28.76271,-98.17306,25.3015498363709,13.8435305620336,3.36579643302938
"42013343070000",28.76271,-98.17306,24.8894239288007,14.1548853205239,3.55841484142705
"42013343080000",28.75731,-98.18029,24.6713128480822,14.861065438619,4.30094280057293
"42013343080000",28.75731,-98.18029,25.0638584117436,15.0242584266751,4.82794517724152
"42013343140100",28.72685,-98.62958,23.9126651900457,12.5266240465782,0
"42013343150000",28.72934,-98.66796,24.7814550710733,14.4234077784011,0
"42013343160000",28.67909,-98.47063,19.3980567378313,7.99410890653868,0
"42013343180000",28.68581,-98.29235,23.4110533069102,12.5542718511317,0
"42013343190000",28.95606,-98.44652,33.399565129843,20.3194228325248,6.89911570457864
"42013343210000",28.69582,-98.27171,23.9027070174859,13.0149167245394,0
"42013343210000",28.69582,-98.27171,23.2366970871143,12.9236347104556,0.195081387610738
"42013343220000",28.69698,-98.29522,22.7886748590791,12.8987895158496,0.178203360416076
"42013343230000",28.72031,-98.28111,20.8147922126354,9.53398286284739,0
"42013343260000",28.84388,-98.21574,21.7344495172517,9.63132422757254,0
"42013343290000",28.92214,-98.52284,30.6232239539106,14.5044329292056,2.52474354961873
"42013343320000",28.76115,-98.54236,22.847359782407,11.7034692780128,1.20199274352866
"42013343330000",28.84646,-98.21195,21.3643799094645,10.7135076834962,0
"42013343340100",28.77119,-98.75017,24.5911670916195,12.0971569891056,0
"42013343350000",28.84715,-98.2224,22.6644573446873,11.9787589662755,0
"42013343380000",28.80386,-98.12158,23.1708233031948,12.058926669408,0.803550488513017
"42013343400000",28.68498,-98.29834,23.7066636693106,12.179732690474,0
"42013343410000",28.79865,-98.12852,22.975616830135,12.7723784564308,1.13234953491685
"42013343420000",28.7988,-98.12838,23.6788568008911,12.4707295633901,1.04578924540911
"42013343430000",28.72611,-98.20412,23.8345389721425,13.0108877124562,1.66382970553976
"42013343440000",28.73058,-98.19822,23.0854706400302,12.6963283000361,0.174694691869521
"42013343450000",28.80405,-98.7182,25.1409167702995,11.8268218254191,0
"42013343470000",28.69624,-98.29095,23.3580493993567,12.6196198915196,0
"42013343490000",28.84002,-98.20071,21.2189490966531,8.74926653967117,0
"42013343510000",28.78055,-98.1797,21.9414657784419,11.6634509009281,0.099662787490074
"42013343520000",28.84006,-98.20065,21.4075885196417,8.99097181756513,0
"42013343530000",28.72799,-98.17893,23.0437547698776,12.4934941270703,0.66024219837311
"42013343540000",28.7119,-98.27177,22.9933849797969,12.3000606728081,1.25616583885384
"42013343550000",28.72888,-98.17795,22.8628977214323,12.5833589058822,0.638967213519396
"42013343550000",28.72888,-98.17795,23.002500224132,12.8724778670658,1.16255756544196
"42013343590000",28.73439,-98.28508,20.5968469918909,9.98598989524782,0
"42013343600000",28.78987,-98.1157,23.7031251473549,13.89002585545,2.53750512128645
"42013343610000",28.79109,-98.11574,24.2871074220301,13.1664329556442,2.78461459267091
"42013343620000",28.65778,-98.56155,18.4308501632084,6.01341804219759,0
"42013343630000",28.65457,-98.41465,23.170632269266,11.2186764925332,0
"42013343640000",28.79313,-98.13666,23.6150658697746,12.2171190814555,0.893008782540956
"42013343650000",28.67716,-98.46157,19.1190238898786,7.79782165589151,0
"42013343660000",28.65454,-98.41463,23.0299781776795,11.5329990487418,0
"42013343670000",28.6545,-98.41461,22.4701019192441,11.2551562043875,0
"42013343680000",28.85148,-98.16285,21.7198334116289,10.7148762195407,0
"42013343690000",28.701,-98.22582,23.610216519481,13.2191788776149,1.02888949908633
"42013343700000",28.67974,-98.45899,19.1186124322857,7.73891949237895,0
"42013343710000",28.64946,-98.32176,22.9029628943588,12.4535233597605,0
"42013343720000",28.78068,-98.12992,24.6595316473356,13.9262370878609,2.78656324037875
"42013343730000",28.78073,-98.12985,25.0001167962644,14.2063611291475,3.79169371760755
"42013343750000",28.67773,-98.40399,20.6072713226219,9.28191741099417,0
"42013343760000",28.68504,-98.45681,19.6395056604681,7.3900483516942,0
"42013343770000",28.77204,-98.7474,23.829483416333,11.7429595670534,0
"42013343780000",28.6777,-98.40396,20.2420366607742,9.02425986023133,0
"42013343810000",28.68493,-98.29836,23.0883472331945,12.3983325021983,0.591815737253551
"42013343820000",28.75636,-98.67409,24.8471648294196,13.2745936080377,0
"42013343830000",28.70143,-98.45868,19.7516332973181,7.47487541006801,0
"42013343840000",28.64952,-98.32182,23.4213528249537,12.4323226188214,0
"42013343850000",28.65121,-98.31991,23.9259300541473,12.760392742025,0
"42013343860000",28.65115,-98.31985,23.0235826263537,12.7277337674514,0.0244539758417004
"42013343870000",28.75188,-98.2873,21.1165802165249,9.50756951046792,0
"42013343920000",28.78491,-98.1735,22.0321453412965,11.3911900066248,0
"42013343940000",28.93999,-98.30009,28.1272367722207,14.9728631092056,3.57182298014291
"42013343960000",28.78663,-98.14526,24.1623366205769,13.6596510389739,3.83061052090895
"42013343980000",28.7867,-98.14525,24.1103196064883,13.2507029667082,2.39454242270367
"42013343990000",28.66075,-98.40993,19.3454907575143,8.00999182674801,0
"42013344000000",28.68582,-98.29243,22.7472587180503,13.0186221616947,0
"42013344010000",28.77528,-98.16024,25.0429099221026,13.9245530045594,3.28489555887115
"42013344030000",28.66075,-98.40998,21.7796542779309,11.0541200922549,0
"42013344040000",28.65486,-98.42547,18.8955811037789,8.25911883306839,0
"42013344070000",28.69481,-98.29352,22.9501697281856,12.6606341038508,0.798002841915964
"42013344090000",28.74759,-98.17732,24.8269211995936,14.6592097443615,3.77832899314814
"42013344100000",28.76038,-98.24534,20.8060389971078,9.49940708551384,0
"42013344110000",28.76041,-98.2453,20.1412036953984,10.0670642689674,0
"42013344120000",28.75153,-98.17046,24.8269711269153,15.1612855532601,3.92977772342746
"42013344130000",28.65515,-98.44813,19.5560582355457,8.59744229701719,0
"42013344130000",28.65515,-98.44813,19.7493678832878,8.49885784687851,0
"42013344160000",28.74752,-98.17727,26.4314681178066,15.2341452768952,4.70668447382351
"42013344180000",28.78127,-98.13065,24.5460363279149,14.0978047152917,3.09022990897632
"42013344200000",28.75146,-98.17039,25.6727913955486,15.0032316902732,4.16180595579858
"42013344210000",28.78133,-98.13058,24.6428554707348,14.2171144307741,3.41066389064691
"42013344220000",28.95399,-98.28825,28.5152677973722,14.7757248846792,2.46981380807975
"42013344230000",28.69563,-98.28358,23.1240071647388,12.3171488451199,0
"42013344240000",28.86003,-98.20036,22.2441380751308,11.9845475023817,0
"42013344250000",28.77827,-98.15225,25.1472531980483,13.8103078599725,2.98300590469717
"42013344260000",28.6835,-98.78385,21.8600381678883,11.2514919571861,0
"42013344270000",28.67983,-98.78378,22.044528291029,9.84764120634831,0
"42013344280000",28.80063,-98.6315,25.0625115082447,13.5410466080894,1.0466884399203
"42013344320000",28.81031,-98.5325,24.7499853764863,12.5450483728807,0.0161571966431027
"42013344330000",28.67767,-98.40393,20.6970611761212,8.81644533913104,0
"42013344350000",28.85095,-98.18605,21.515432748566,10.7253821442943,0
"42013344400000",28.69496,-98.27733,23.2068102661568,12.3260395859633,0.645031876650839
"42013344410000",28.73919,-98.21004,22.4434003848078,12.7804236086895,0.302307410513726
"42013344450000",28.80939,-98.25846,20.4446739176046,7.83961984143361,0
"42013344470000",28.65583,-98.69759,20.027279798889,10.0115687407085,0
"42013344480000",28.65067,-98.68219,21.7054194665038,10.4976487458754,0
"42013344520000",28.85674,-98.17167,21.8019930332599,10.1607925208727,0
"42013344530000",28.83755,-98.58331,22.1374693784148,12.2762891042099,1.02420212966981
"42013344540000",28.82805,-98.60036,25.3302311322883,12.7286467377876,1.74430378665724
"42013344550000",28.82243,-98.56053,25.9633853362832,13.6724699846977,1.67708129257414
"42013344560000",28.77913,-98.58597,23.1770216185947,11.9965302606938,0.0840117377550784
"42013344570000",28.77912,-98.58603,23.0676946107209,12.2349637520176,0.0940424646480408
"42013344580000",28.76644,-98.1429,24.7152944922111,14.9203500707869,3.75102308175534
"42013344610000",28.72774,-98.20221,23.3702320984429,12.7828053260036,0.330002345650569
"42013344620000",28.72923,-98.2002,23.4901596115335,12.6735295881893,0.615901404131135
"42013344630000",28.6549,-98.42547,19.7939588834365,8.48556025738358,0
"42013344640000",28.84653,-98.18833,23.8839920251843,12.1699857356992,0
"42013344650000",28.75183,-98.27041,20.5203350488012,9.95980337835985,0
"42013344660000",28.75182,-98.27049,21.5722955742182,10.5922731833419,0
"42013344680000",28.83132,-98.30048,19.0537176432097,7.33839870949147,0
"42013344690000",28.84792,-98.31227,21.2938868559734,9.77690362666049,0
"42013344710000",28.83275,-98.2983,19.5145606689538,7.43432472418517,0
"42013344720000",28.76081,-98.15531,24.7377141675014,14.7424757787773,5.10326273246883
"42013344730000",28.80196,-98.26872,20.0130006865896,7.56389645345219,0
"42013344740000",28.80327,-98.26692,19.4529634584234,7.6942163059887,0
"42013344760000",28.65052,-98.32301,23.4097335196432,12.2337067821911,0
"42013344770000",28.65042,-98.3229,23.2500358962646,12.8436685152029,0
"42013344780000",28.65226,-98.32104,23.223554298466,12.119151507382,0
"42013344790000",28.8477,-98.18351,22.1266604614078,10.7973729159739,0
"42013344800000",28.65217,-98.32093,23.3378012587848,12.2983905190029,0
"42013344810000",28.64717,-98.32496,23.0715005673927,12.3266314570401,0
"42013344820000",28.64723,-98.32492,22.7977444125279,12.0297548962189,0
"42013344830000",28.64729,-98.32488,23.1412497055415,12.6757828045972,0.0607620927827081
"42013344840200",28.64734,-98.32484,23.7731682537124,12.4681074123092,0
"42013344850000",28.70223,-98.22713,23.2869060641921,12.4492985140162,0.201393480612364
"42013344860000",28.84853,-98.24019,22.6374818099414,12.2132421699897,0.922756465075292
"42013344870000",28.71017,-98.26771,23.4301096637407,12.4853576618531,0.576641799559435
"42013344880000",28.7101,-98.26772,23.1985450286391,12.6587552996823,1.0581297496644
"42013344890000",28.93338,-98.42516,29.9582170358592,15.1940421628401,3.52128966309936
"42013344900000",28.85118,-98.17143,25.637026328609,13.6261747945318,0.984590271394317
"42013344910000",28.70281,-98.23229,23.7044501185702,12.8502030839391,0
"42013344920000",28.65562,-98.47097,19.6936194778622,8.23245606883891,0
"42013344930000",28.73984,-98.798,23.747194541695,12.166650829992,0
"42013344940000",28.79739,-98.29856,19.7021117070619,7.79076353293914,0
"42013344950000",28.68565,-98.4058,19.8280201520154,9.16151553117581,0
"42013344960000",28.68569,-98.40574,19.1196287919938,8.12231804194004,0
"42013345040000",28.78049,-98.17964,22.4902524090944,11.4567385148736,0.565787098767726
"42013345050100",28.78042,-98.17958,24.6689255808379,14.7634283481482,3.35274605960293
"42013345060000",28.70287,-98.23224,23.4059053020402,13.0078199302966,0.456631175819497
"42013345070000",28.74484,-98.64164,25.3402634753122,14.3109281094562,0.525497193591324
"42013345080000",28.79212,-98.279,20.4304481961853,8.17013537799214,0
"42013345090000",28.8244,-98.26383,20.2897758051867,8.54571840346003,0
"42013345100000",28.82435,-98.26378,19.5638116770221,9.04692925697504,0
"42013345120000",28.79208,-98.27906,19.1575293118435,7.76735660643412,0
"42013345140000",28.67517,-98.65083,21.1114144130074,11.2243222599528,0
"42013345180000",28.70305,-98.38172,19.2276917287236,8.44226327127225,0
"42013345200000",28.70301,-98.38179,19.812067297072,8.16832344881784,0
"42013345210000",28.69757,-98.23805,22.9222325363302,12.9510279999866,0
"42013345220000",28.72572,-98.222,23.0416824613146,12.6097201095688,0.500961130913114
"42013345230000",28.76535,-98.17105,24.8582612148311,13.7833725932845,3.16874485733375
"42013345240000",28.72578,-98.22196,22.7095378970452,12.8489297738165,0.130303032691942
"42013345250000",28.70502,-98.22346,23.0637852400905,12.5422408849389,0.522308144070733
"42013345260000",28.69751,-98.238,23.5201158564948,12.5184389107339,1.82586801164973
"42013345270000",28.69358,-98.5623,20.5440491229156,8.05580377641545,0
"42013345280000",28.7654,-98.17099,24.8347954599685,13.756072837681,3.24977335768411
"42013345290000",28.70378,-98.22546,23.6492609099193,12.2184557220931,0.75748457765066
"42013345300000",28.70507,-98.2234,24.7394957608005,13.5376215976919,1.98313595627408
"42013345310000",28.75464,-98.1581,26.0692477300728,15.2167447200485,4.71701357869874
"42013345320000",28.70373,-98.22541,23.7931016747103,13.1304706418457,0.943054035528117
"42013345340000",28.7546,-98.15816,25.3798731887359,14.8490504755228,3.98497825989501
"42013345380000",28.83773,-98.25515,20.6322385631051,8.21578672177329,0
"42013345390000",28.8378,-98.25522,20.3134813997052,8.47723017937431,0
"42013345400000",28.64977,-98.52011,19.6719086805335,7.50535995599352,0
"42013345410000",28.87825,-98.23356,23.8585901095544,12.3925203309353,0.52803927625797
"42013345420000",28.87833,-98.23363,24.0829444824409,12.3302427930312,0.834509734603999
"42013345430000",28.67891,-98.24695,23.2626030454334,12.6315688415326,0.836565404823971
"42013345440000",28.69805,-98.24084,22.9366693938264,12.2916872466233,0.652724508500423
"42013345450000",28.69703,-98.2398,23.9469159220355,12.9252154913241,0.708133280163719
"42013345460000",28.78497,-98.17356,22.017668641976,11.2713327353949,0
"42013345470000",28.83454,-98.25975,20.4779601142503,8.42314453389961,0
"42013345480000",28.83461,-98.25982,20.4785117749608,8.54263929718069,0
"42013345500000",28.84108,-98.42744,25.6474797819386,13.0241608993688,1.50103071221947
"42013345530000",28.64987,-98.5393,18.510298160107,7.18878593051313,0
"42013345540000",28.69362,-98.24473,23.3134754257207,12.887736041273,0.524068414520743
"42013345550000",28.69366,-98.24466,23.037960767867,12.6071314122127,0.325689435680258
"42013345580000",28.64955,-98.52234,19.8188971526565,6.65409909346052,0
